Formula One circuits - source : https://en.wikipedia.org/wiki/List_of_Formula_One_circuits ;;;;;;;;
Circuit;Type;Direction;Location;Country;Last length used (km);Last length used (mi);2022;Grands Prix held
Albert Park Circuit;Street circuit;Clockwise;Melbourne; Australia;5.278;3.280;2022;25
Autodromo Enzo e Dino Ferrari;Race circuit;Anti-clockwise;Imola; Italy;4.909;3.050;2022;30
Autódromo Hermanos Rodríguez;Race circuit;Clockwise;Mexico City; Mexico;4.304;2.674;2022;22
Autodromo José Carlos Pace;Race circuit;Anti-clockwise;São Paulo; Brazil;4.309;2.677;2022;39
Autodromo Nazionale di Monza;Race circuit;Clockwise;Monza; Italy;5.793;3.600;2022;72
Bahrain International Circuit;Race circuit;Clockwise;Sakhir; Bahrain;5.412;3.363;2022;19
Baku City Circuit;Street circuit;Anti-clockwise;Baku; Azerbaijan;6.003;3.730;2022;6
Circuit de Barcelona-Catalunya;Race circuit;Clockwise;Barcelona; Spain;4.675;2.905;2022;32
Circuit de Monaco;Street circuit;Clockwise;Monte Carlo; Monaco;3.337;2.074;2022;68
Circuit de Spa-Francorchamps;Race circuit;Clockwise;Spa; Belgium;7.004;4.352;2022;55
Circuit Gilles-Villeneuve;Street circuit;Clockwise;Montreal; Canada;4.361;2.710;2022;41
Circuit of the Americas;Race circuit;Anti-clockwise;Austin; United States;5.513;3.426;2022;10
Circuit Paul Ricard;Race circuit;Clockwise;Le Castellet; France;5.842;3.630;2022;18
Circuit Zandvoort;Race circuit;Clockwise;Zandvoort; Netherlands;4.259;2.646;2022;32
Hungaroring;Race circuit;Clockwise;Budapest; Hungary;4.381;2.722;2022;37
Jeddah Corniche Circuit;Street circuit;Anti-clockwise;Jeddah; Saudi Arabia;6.174;3.836;2022;2
Marina Bay Street Circuit;Street circuit;Anti-clockwise;Marina Bay; Singapore;5.063;3.146;2022;13
Miami International Autodrome;Street circuit;Anti-clockwise;Miami; United States;5.412;3.363;2022;1
Red Bull Ring;Race circuit;Clockwise;Spielberg; Austria;4.318;2.683;2022;36
Silverstone Circuit;Race circuit;Clockwise;Silverstone; United Kingdom;5.891;3.660;2022;57
Suzuka International Racing Course;Race circuit;Part clockwise and part anti-clockwise (figure eight);Suzuka; Japan;5.807;3.608;2022;32
Yas Marina Circuit;Race circuit;Anti-clockwise;Abu Dhabi; United Arab Emirates;5.281;3.281;2022;14
Adelaide Street Circuit;Street circuit;Clockwise;Adelaide; Australia;3.780;2.349;0;11
Ain-Diab Circuit;Road circuit;Clockwise;Casablanca; Morocco;7.618;4.734;0;1
Aintree Motor Racing Circuit;Road circuit;Clockwise;Aintree; United Kingdom;4.828;3.000;0;5
Algarve International Circuit;Race circuit;Clockwise;Portimão; Portugal;4.653;2.891;0;2
Autódromo do Estoril;Race circuit;Clockwise;Estoril; Portugal;4.360;2.709;0;13
Autódromo Internacional do Rio de Janeiro;Race circuit;Anti-clockwise;Rio de Janeiro; Brazil;5.031;3.126;0;10
Autodromo Internazionale del Mugello;Race circuit;Clockwise;Scarperia e San Piero; Italy;5.245;3.259;0;1
Autódromo Juan y Oscar Gálvez;Race circuit;Clockwise;Buenos Aires; Argentina;4.259;2.646;0;20
AVUS;Road circuit;Anti-clockwise;Berlin; Germany;8.300;5.157;0;1
Brands Hatch Circuit;Race circuit;Clockwise;West Kingsdown; United Kingdom;3.703;2.301;0;14
Buddh International Circuit;Race circuit;Clockwise;Greater Noida; India;5.141;3.194;0;3
Bugatti Au Mans;Race circuit;Clockwise;Le Mans; France;4.430;2.753;0;1
Caesars Palace Grand Prix Circuit;Street circuit;Anti-clockwise;Las Vegas; United States;3.650;2.268;0;2
Charade Circuit;Road circuit;Clockwise;Saint-Genès-Champanelle; France;8.055;5.005;0;4
Circuit Bremgarten;Road circuit;Clockwise;Bern; Switzerland;7.208;4.479;0;5
Circuit de Nevers Magny-Cours;Race circuit;Clockwise;Magny-Cours; France;4.411;2.741;0;18
Circuit de Pedralbes;Street circuit;Clockwise;Barcelona; Spain;6.316;3.925;0;2
Circuit de Reims-Gueux;Road circuit;Clockwise;Gueux; France;8.302;5.159;0;11
Circuit Dijon-Prenois;Race circuit;Clockwise;Prenois; France;3.886;2.415;0;6
Circuit Mont-Tremblant;Race circuit;Clockwise;Mont-Tremblant; Canada;4.265;2.650;0;2
Circuit Zolder;Race circuit;Clockwise;Heusden-Zolder; Belgium;4.262;2.648;0;10
Circuito da Boavista;Street circuit;Anti-clockwise;Porto; Portugal;7.775;4.831;0;2
Circuito de Monsanto;Street circuit;Clockwise;Lisbon; Portugal;5.440;3.380;0;1
Circuito Permanente de Jerez;Race circuit;Clockwise;Jerez de la Frontera; Spain;4.428;2.751;0;7
Circuito Permanente del Jarama;Race circuit;Clockwise;San Sebastián de los Reyes; Spain;3.404;2.115;0;9
Complexe Européen de Nivelles-Baulers;Race circuit;Clockwise;Nivelles; Belgium;3.724;2.314;0;2
Dallas Fair Park;Street circuit;Anti-clockwise;Dallas; United States;3.901;2.424;0;1
Detroit Street Circuit;Street circuit;Anti-clockwise;Detroit; United States;4.168;2.590;0;7
Donington Park;Race circuit;Clockwise;Castle Donington; United Kingdom;4.020;2.498;0;1
Fuji Speedway;Race circuit;Clockwise;Oyama; Japan;4.563;2.835;0;4
Hockenheimring;Race circuit;Clockwise;Hockenheim; Germany;4.574;2.842;0;37
Indianapolis Motor Speedway;Race circuit;Clockwise;Speedway; United States;4.192;2.605;0;19
Intercity Istanbul Park;Race circuit;Anti-clockwise;Istanbul; Turkey;5.338;3.317;0;9
Korea International Circuit;Race circuit;Anti-clockwise;Yeongam; South Korea;5.615;3.489;0;4
Kyalami Grand Prix Circuit;Race circuit;Anti-clockwise;Midrand; South Africa;4.261;2.648;0;20
Las Vegas Street Circuit;Street circuit;Anti-clockwise;Las Vegas; United States;6.116;3.800;0;0
Long Beach Street Circuit;Street circuit;Clockwise;Long Beach; United States;3.275;2.035;0;8
Losail International Circuit;Race circuit;Clockwise;Lusail; Qatar;5.380;3.343;0;1
Montjuïc circuit;Street circuit;Anti-clockwise;Barcelona; Spain;3.791;2.356;0;4
Mosport International Raceway;Race circuit;Clockwise;Bowmanville; Canada;3.957;2.459;0;8
Nürburgring;Race circuit;Clockwise;Nürburg; Germany;5.148;3.199;0;41
Pescara Circuit;Road circuit;Clockwise;Pescara; Italy;25.800;16.031;0;1
Phoenix Street Circuit;Street circuit;Anti-clockwise;Phoenix; United States;3.720;2.312;0;3
Prince George Circuit;Race circuit;Clockwise;East London; South Africa;3.920;2.436;0;3
Riverside International Raceway;Race circuit;Clockwise;Moreno Valley; United States;5.271;3.275;0;1
Rouen-Les-Essarts;Road circuit;Clockwise;Orival; France;6.542;4.065;0;5
Scandinavian Raceway;Race circuit;Clockwise;Anderstorp; Sweden;4.031;2.505;0;6
Sebring Raceway;Road circuit;Clockwise;Sebring; United States;8.356;5.192;0;1
Sepang International Circuit;Race circuit;Clockwise;Selangor; Malaysia;5.543;3.444;0;19
Shanghai International Circuit;Race circuit;Clockwise;Shanghai; China;5.451;3.387;0;16
Sochi Autodrom;Race circuit;Clockwise;Sochi; Russia;5.848;3.634;0;8
TI Circuit Aida;Race circuit;Clockwise;Mimasaka; Japan;3.703;2.301;0;2
